category,title,publicationDetails,abstract,filename,externalLink,externalLinkName
academic,The Relation Between Academic Freedom and Free Speech,Forthcoming in Ethics,"The standard view of the relation between academic freedom and free speech is that they serve complementary ends in higher education. The university should play host to academic dis-course and to other kinds of public discourse, and where the former should be protected by academic freedom, the latter should be protected by principles of free speech. My aim in this paper is to challenge this prima facie attractive picture of the university. The key worry is that a campus free speech culture can subvert the realisation of the university's intellectual mission. How might one defend the standard view in the face of this worry? I consider two types of posi-tive arguments that have been offered on behalf of the standard view. One says that a campus free speech culture in fact makes an important contribution to the realisation of the universi-ty's intellectual mission. The other type of argument says that the university has a role to play in nurturing a democratic ethos, and that this requires a special commitment to free speech. I identify shortcomings in both types of arguments.",,,
academic,The Conversational Character of Oppression,Forthcoming in Australasian Philosophical Review,"Mary Kate McGowan argues that everyday verbal bigotry makes a key contribution to the harms of discriminatory inequality, via a mechanism that she calls sneaky norm enactment. Part of her account involves showing that the characteristic of conversational interaction that facilitates sneaky norm enactment is in fact a generic one, which obtains in a wide range of activities – namely, the property of having conventions of appropriateness. I argue that her account will be better-able to show that everyday verbal bigotry is a key factor in social inequality if it tries to isolate a more specific property of conversation as the thing that facilitates sneaky norm enactment.  ",Conversational-Character.pdf,,
academic,"Won't Somebody Please Think of the Children? Hate Speech, Harm, and Childhood",Law and Philosophy 38/1 (2019): 79-108,"Some authors claim that hate speech plays a key role in perpetuating unjust social hierarchy. One prima facie plausible hypothesis about how this occurs is that hate speech has a pernicious influence on the attitudes of children. Here I argue that this hypothesis has an important part to play in the formulation of an especially robust case for general legal prohibitions on hate speech. If our account of the mechanism via which hate speech effects its harms is built around claims about hate speech’s influence on children, then we will be better-placed to acquire evidence that demonstrates the processes posited in our account, and better-placed to ascribe responsibility for these harms to individuals who engage in hate speech. I briefly suggest some policy implications that come with developing an account of the harm of hate speech along these lines.",Think-of-the-Children.pdf,https://link.springer.com/article/10.1007/s10982-018-9339-3,Journal Link
academic,Language and Legitimation,"Forthcoming in Rachel Sterken and Justin Khoo (Eds.), The Routledge Handbook of Social and Political Philosophy of Language (London: Routledge)","The verb ‘to legitimate’ is often used in political discourse in a way that’s prima facie perplexing. To wit, it is often said that an actor legitimates a practice that is formally proscribed in the relevant context, e.g. that a worker telling sexist jokes legitimates sexual discrimination in the workplace. In order to clarify the meaning of statements like this, and show how they can sometimes be true and informative, we need an account of how something which is formally illegitimate can have a kind of ersatz legitimacy conferred on it, and how this can occur even when the actor ‘doing the legitimating’ lacks formal authority. I examine an account of this sort which makes reference to the phenomenon of ‘normalization’, and highlight some advantages that this account has in comparison an alternative account, which makes reference to the phenomenon of ‘licensed authority’.",Language-Legitimation.pdf,,
academic,No Platforming,"In Jennifer Lackey (Ed.), Academic Freedom (Oxford: Oxford University Press, 2018): 186-209 (with Amia Srinivasan).","This paper explains how the practice of ‘no platforming’ can be reconciled with a liberal politics. While opponents say that no platforming flouts ideals of open public discourse, and defenders see it as a justifiable harm-prevention measure, both sides mistakenly treat the debate like a run-of-the-mill free speech conflict, rather than an issue of academic freedom specifically. Content-based restrictions on speech in universities are ubiquitous. And this is no affront to a liberal conception of academic freedom, whose purpose isn’t just to protect the speech of academics, but also to give them the prerogative to determine which views and speakers have sufficient disciplinary credentials to receive a hearing in academic contexts. No platforming should therefore be acceptable to liberals, in principle, in cases where it is used to support a university culture that maintains rigorous disciplinary standards, by denying attention and credibility to speakers without appropriate disciplinary credentials.",No-Platforming.pdf,https://global.oup.com/academic/product/academic-freedom-9780198791508?cc=gb&lang=en&,Book Link
academic,"Regulating Offense, Nurturing Offense","Politics, Philosophy, and Economics 17/3 (2018): 235-56","Joel Feinberg’s Offense to Others is the most comprehensive contemporary work on the significance of offense in a liberal legal system. Feinberg argues that being offended can impair a person’s liberty, much like a nuisance, and that it is therefore legitimate in principle to regulate conduct because of its offensiveness. In this paper I discuss some overlooked considerations that give us reason to resist Feinberg’s conclusion, even while granting this premise. My key claim is that the regulation of offense can inadvertently increase the incidence of offense, by nurturing offense-taking sensibilities. In the course of defending this claim and spelling out its implications, I explain why concerns about the inadvertent nurturing of offense are now more pressing, given the identity-political character of contemporary offense-based social conflicts, and I discuss why a reluctance to legally regulate offensive conduct need not be insensitive to the identity-political issues that animate those conflicts.",Regulating-Offense.pdf,https://journals.sagepub.com/doi/full/10.1177/1470594X17741228,Journal Link
academic,Permissivism and the Arbitrariness Objection,Episteme 14/4 (2017): 519-38,"Permissivism says that for some propositions and bodies of evidence, there is more than one rationally permissible doxastic attitude that can be taken towards that proposition given the evidence. Some critics of this view argue that it condones, as rationally acceptable, sets of attitudes that manifest an untenable kind of arbitrariness. I begin by providing a new and more detailed explication of what this alleged arbitrariness consists in. I then explain why Miriam Schoenfield’s prima facie promising attempt to answer the Arbitrariness Objection, by appealing to the role of epistemic standards in rational belief formation, fails to resolve the problem. Schoenfield’s strategy is, however, a useful one, and I go on to explain how an alternative form of the standards-based approach to Permissivism – one that emphasizes the significance of the relationship between people’s cognitive abilities and the epistemic standards that they employ – can respond to the arbitrariness objection.",Permissivism.pdf,https://www.cambridge.org/core/journals/episteme/article/permissivism-and-the-arbitrariness-objection/4623130173707A94B11A4AC4103B9C06,Journal Link
academic,Political Correctness Gone Viral,"In Carl Fox and Joseph Saunders (Eds.), Free Speech and Media Ethics (London: Routledge, 2019): 125-43 (with Waleed Aly)","Communicative practices in online and social media sometimes seem to amplify political conflict, and result in significant harms to people who become the targets of collective outrage. Many complaints that have been made about political correctness in the past, we argue, amount to little more than a veiled expression of resentment over the increasing influence enjoyed by progressive activists. But some complaints about political correctness take on a different complexion, in light of the technologically-driven changes to our communicative practices and political discourse. Given the ways in which they are entangled in these new forms of online communication, well-meaning attempts to police the norms of political correctness may end up contributing to individual wrongs, or to destructive social patterns. In this paper we examine these worries, situate them in a broader sociological context, and offer some tentative proposals about how they might be addressed.",Political-Correctness.pdf,https://www.routledge.com/Media-Ethics-Free-Speech-and-the-Requirements-of-Democracy-1st-Edition/Fox-Saunders/p/book/9780203702444,Book Link
academic,Search Engines and Free Speech Coverage,"In Susan J. Brison and Katharine Gelber (Eds.), Free Speech in the Digital  Age (Oxford: Oxford University Press, 2019): 33-51 (with Heather M. Whitney)","This paper investigates whether search engines and other new modes of online communication should be covered by free speech principles. It criticizes the analogical reasoning that contemporary American courts and scholars have used to liken search engines to newspapers, and to extend free speech coverage to them based on that likeness. There are dissimilarities between search engines and newspapers that undermine the key analogy, and also rival analogies that can be drawn which don’t recommend free speech protection for search engines. Partly on these bases, we argue that an analogical approach to questions of free speech coverage is of limited use in this context. Credible verdicts about how free speech principles should apply to new modes of online communication require us to re-excavate the normative foundations of free speech. This method for deciding free speech coverage suggests that only a subset of search engine outputs and similar online communication should receive special protection against government regulation.",Search-Engines.pdf,https://global.oup.com/academic/product/free-speech-in-the-digital-age-9780190883607?cc=gb&lang=en&,Book Link
academic,Reconciling Regulation with Scientific Autonomy in Dual-use Research,Forthcoming in Journal of Medicine and Philosophy (with Nicholas G. Evans and Michael J. Selgelid),"In debates over the regulation of communication related to dual-use research, we have to weigh the risks that such communication creates, against the value of scientific autonomy. The censorship of such communication seems justifiable in certain cases, given the potentially catastrophic applications of some dual-use research. But this conclusion gives rise to another kind of danger: that regulators will use overly simplistic cost-benefit reasoning to rationalise excessive regulation of scientific research. In response to this, we show how institutional design principles and normative frameworks from free speech theory can be used to help extend the argument for regulating dangerous dual-use research beyond overly simplistic cost-benefit reasoning, but without reverting to an implausibly absolutist view of scientific autonomy.",Reconciling-Regulation.pdf,,
